Month,Price,Change
Oct-17,2.13,-5.74%
Nov-17,2.31,8.46%
Dec-17,2.38,3.08%
Jan-18,2.46,3.39%
Feb-18,2.35,-4.58%
Mar-18,2.39,1.89%
Apr-18,2.62,9.46%
May-18,2.86,9.40%
Jun-18,2.79,-2.60%
Jul-18,2.83,1.56%
Aug-18,2.89,2.06%
Sep-18,3.04,5.11%
Oct-18,3.17,4.16%
Nov-18,2.68,-15.20%
Dec-18,2.36,-12.25%
Jan-19,2.5,6.04%
Feb-19,2.68,7.27%
Mar-19,2.69,0.25%
Apr-19,2.78,3.44%
May-19,2.84,2.13%
Jun-19,2.62,-7.76%
Jul-19,2.74,4.60%
Aug-19,2.66,-2.91%
Sep-19,2.76,3.66%
Oct-19,2.74,-0.53%
Nov-19,2.67,-2.65%
Dec-19,2.76,3.54%
Jan-20,2.59,-6.37%
Feb-20,2.26,-12.55%
Mar-20,1.54,-32.05%
Apr-20,0.96,-37.37%
